PairwiseTraits,gen_corr,pred_corr,bias,avg_total_RHE,Correct_QTL_overlap,QTL_overlap_ITL,Cat1
CorollaThroat-CorollaWidth,0.698,0.512263333,-0.185736667,1.051,0.5,0.5,flower
CorollaLength-CorollaWidth,0.635,0.538466811,-0.096533189,0.952,0.3,0.3,flower
CorollaWidth-OverallCorollaLength,0.787,0.759443314,-0.027556686,0.976,0.5,0.5,flower
CorollaWidth-SepalLength,0.531,0.45320616,-0.07779384,0.9985,0.333333333,0.333333333,flower
CorollaWidth-LongestStamenLength,0.672,0.627739879,-0.044260121,0.8845,0.35,0.35,flower
CorollaWidth-PistilLength,0.588,0.676005038,0.088005038,1.305,0.391304348,0.391304348,flower
CorollaWidth-NectarVolume,0.547,0.393942412,-0.153057588,0.8055,0.294117647,0.294117647,flower-nectar
CorollaWidth-SugarConcentration,0.26,0.091390826,-0.168609174,0.976,0.142857143,0.142857143,flower-nectar
CorollaWidth-NectarySize,0.545,0.336455237,-0.208544763,0.901,0.260869565,0.260869565,flower-nectar
CorollaLength-CorollaThroat,0.543,0.547686566,0.004686566,0.955,0.421052632,0.421052632,flower
CorollaThroat-OverallCorollaLength,0.589,0.339332431,-0.249667569,0.979,0.333333333,0.333333333,flower
CorollaThroat-SepalLength,0.442,0.112085978,-0.329914022,1.0015,0.25,0.25,flower
CorollaThroat-LongestStamenLength,0.44,0.416675073,-0.023324927,0.8875,0.333333333,0.333333333,flower
CorollaThroat-PistilLength,0.409,0.50264127,0.09364127,1.308,0.375,0.375,flower
CorollaThroat-NectarVolume,0.49,0.363902678,-0.126097322,0.8085,0.352941177,0.352941176,flower-nectar
CorollaThroat-SugarConcentration,0.36,0.053399023,-0.306600977,0.979,0.25,0.25,flower-nectar
CorollaThroat-NectarySize,0.607,0.653052598,0.046052598,0.904,0.578947368,0.578947368,flower-nectar
CorollaLength-OverallCorollaLength,0.978,0.846643105,-0.131356895,0.88,0.6875,0.6875,flower
CorollaLength-SepalLength,0.335,0.395688186,0.060688186,0.9025,0.6,0.6,flower
CorollaLength-LongestStamenLength,0.752,0.769966361,0.017966361,0.7885,0.588235294,0.588235294,flower
CorollaLength-PistilLength,0.605,0.763109052,0.158109052,1.209,0.6,0.6,flower
CorollaLength-NectarVolume,0.496,0.340837068,-0.155162932,0.7095,0.375,0.375,flower-nectar
CorollaLength-SugarConcentration,0.4,0.209972009,-0.190027991,0.88,0.411764706,0.411764706,flower-nectar
CorollaLength-NectarySize,0.412,0.282205259,-0.129794741,0.805,0.318181818,0.318181818,flower-nectar
OverallCorollaLength-SepalLength,0.417,0.366457045,-0.050542955,0.9265,0.470588235,0.470588235,flower
LongestStamenLength-OverallCorollaLength,0.794,0.797248484,0.003248484,0.8125,0.647058824,0.647058824,flower
OverallCorollaLength-PistilLength,0.638,0.761998543,0.123998543,1.233,0.571428571,0.571428571,flower
NectarVolume-OverallCorollaLength,0.542,0.381541469,-0.160458531,0.7335,0.4375,0.4375,flower-nectar
OverallCorollaLength-SugarConcentration,0.329,0.222944087,-0.106055913,0.904,0.388888889,0.388888889,flower-nectar
NectarySize-OverallCorollaLength,0.445,0.255343855,-0.189656145,0.829,0.2,0.2,flower-nectar
LongestStamenLength-SepalLength,0.314,0.351614595,0.037614595,0.835,0.388888889,0.388888889,flower
PistilLength-SepalLength,0.392,0.442622146,0.050622146,1.2555,0.428571429,0.428571429,flower
NectarVolume-SepalLength,0.381,0.442484819,0.061484819,0.756,0.333333333,0.333333333,flower-nectar
SepalLength-SugarConcentration,0.266,0.090103993,-0.175896007,0.9265,0.294117647,0.294117647,flower-nectar
NectarySize-SepalLength,0.465,0.402645655,-0.062354345,0.8515,0.35,0.35,flower-nectar
LongestStamenLength-PistilLength,0.641,0.646128084,0.005128084,1.1415,0.571428571,0.571428571,flower
LongestStamenLength-NectarVolume,0.562,0.341215511,-0.220784489,0.642,0.533333333,0.533333333,flower-nectar
LongestStamenLength-SugarConcentration,0.439,0.320682732,-0.118317268,0.8125,0.5625,0.5625,flower-nectar
LongestStamenLength-NectarySize,0.446,0.381221608,-0.064778392,0.7375,0.428571429,0.428571429,flower-nectar
NectarVolume-PistilLength,0.463,0.241857454,-0.221142546,1.0625,0.333333333,0.333333333,flower-nectar
PistilLength-SugarConcentration,0.291,0.22023657,-0.07076343,1.233,0.363636364,0.363636364,flower-nectar
NectarySize-PistilLength,0.395,0.391696443,-0.003303557,1.158,0.346153846,0.346153846,flower-nectar
NectarVolume-SugarConcentration,0.646,0.067048768,-0.578951232,0.7335,0.333333333,0.333333333,nectar
NectarVolume-NectarySize,0.698,0.429072549,-0.268927452,0.6585,0.666666667,0.666666667,nectar
NectarySize-SugarConcentration,0.648,0.435095377,-0.212904623,0.829,0.5,0.5,nectar